source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
CSIC,GUI33,28.31464118,-16.48716295,1996.1881,254.6165726768749,255.0679674384864
CSIC,GUI34,28.32369081,-16.48473048,2093.4428,251.8783273927956,252.32972215440705
CSIC,IPNA_out,28.4795576,-16.32038175,607.7105,230.9499779537111,231.40137271532257
CSIC,IZAN,28.30915,-16.49975,2417.5,251.05326821253144,251.5046629741429
CSIC,LM001,28.29209641,-16.53970616,2334.4456,257.73720146668086,258.18859622829234
CSIC,LM002,28.28821323,-16.53995801,2349.5782,258.36701537304145,258.81841013465294
CSIC,LM003,28.28938782,-16.54212119,2336.9749,258.10369670267096,258.55509146428244
CSIC,LM005,28.28943726,-16.54642737,2334.4915,258.324088686164,258.77548344777546
CSIC,LM006,28.28712044,-16.53803066,2360.8992,256.40585498500457,256.85724974661605
CSIC,LM007_G1,28.29254627,-16.54547421,2329.6835,257.5719167245019,258.02331148611336
CSIC,LM008_G3,28.29257337,-16.54496238,2329.1694,258.4485252799396,258.89992004155107
CSIC,LM009_G5,28.2926566,-16.54444768,2329.4437,258.4936743330718,258.9450690946833
CSIC,LM010_G7,28.29273856,-16.54395066,2329.6925,258.4608247137709,258.9122194753824
CSIC,LM011_G9,28.29282532,-16.54345617,2330.1468,257.5363938083758,257.9877885699873
CSIC,LM012_G11,28.29299981,-16.54295761,2331.2056,257.75964905167734,258.2110438132888
CSIC,LM013_G13,28.29307302,-16.54244497,2332.0551,258.1470294988179,258.5984242604294
CSIC,LM014_G15,28.29316032,-16.54194801,2332.2189,257.1626630270216,257.6140577886331
CSIC,LM015_G17,28.29327066,-16.54145801,2332.8884,257.368035104377,257.81942986598847
CSIC,LM016_G19,28.29339071,-16.54096717,2332.7707,257.2283770977223,257.6797718593337
