,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
74,74,TENE075,323262.87,3129936.11,-16.8021,28.2836,985.1,979214.805,242.44,0.027,1032.0600982737428,978874.399588919,340.40541108103935,83.31389237553938,257.0915187055
75,75,TENE076,323731.75,3124644.57,-16.7965,28.2359,669.2,979275.145,240.746,0.017,716.0978983688354,978968.2985804828,306.8464195171837,52.88657528093514,253.95984423624853
76,76,TENE077,324711.02,3134775.8,-16.7881,28.3275,1105.2,979186.994,237.689,0.027,1152.018736754227,978840.6995578734,346.29444212652743,93.57646736755368,252.71797475897375
77,77,TENE078,325200.87,3137859.73,-16.7835,28.3553,622.2,979285.349,234.208,0.019,668.6760499144746,978991.931983576,293.41701642400585,46.20854072155846,247.2084757024474
78,78,TENE079,326386.54,3127375.17,-16.7699,28.2609,1309.1,979145.357,243.29,0.026,1356.478207973938,978772.6038700633,372.7531299366383,113.30357478440266,259.44955515223563
79,79,TENE080,327303.79,3129984.07,-16.7609,28.2846,1463.5,979112.5,240.705,0.017,1510.9509554973145,978726.7387749294,385.7612250705715,128.06788734914363,257.6933377214279
80,80,TENE081,327571.37,3133471.39,-16.7587,28.3161,1280.2,979148.541,236.036,0.022,1327.4173008451237,978785.7290879315,362.8119120685151,110.64224790474428,252.1696641637708
81,81,TENE082,327577.46,3135639.19,-16.759,28.3356,986.3,979208.073,233.21,0.025,1033.2645478894042,978877.9489385,330.12406149995513,82.26184361825283,247.8622178817023
82,82,TENE083,329501.16,3127508.44,-16.7382,28.2625,1679.7,979068.423,245.466,0.022,1727.4467092704774,978658.2963890787,410.12661092123017,146.70404152236608,263.4225693988641
83,83,TENE084,329585.24,3137847.8,-16.7388,28.3558,669.7,979268.407,227.929,0.024,716.4662787851563,978977.2226104785,291.18438952148426,49.68516023316283,241.49922928832143
84,84,TENE085,330307.24,3136168.29,-16.7312,28.3408,962.5,979208.925,229.692,0.024,1009.567359166504,978885.6526458353,323.27235416474286,78.79141722263915,244.4809369421037
85,85,TENE086,330380.12,3128931.1,-16.7294,28.2755,1795.6,979042.025,242.856,0.035,1843.3959392547608,978623.5144669113,418.5105330887018,157.145213096572,261.3653199921298
86,86,TENE087,331754.66,3126781.38,-16.7151,28.2563,1961.6,979010.047,249.364,0.048,2009.5646590118408,978570.821376232,439.2256237680558,170.63310528861842,268.5925184794374
