Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,10936050,28.411388888888887,-16.509444444444444,247.9886,no encontrada,no encontrada,979358.13
Tenerife,10936051,28.40583333333333,-16.511666666666667,233.8727,no encontrada,no encontrada,979363.48
Tenerife,10936052,28.401944444444442,-16.518055555555556,239.2574,no encontrada,no encontrada,979364.44
Tenerife,10936053,28.398611111111112,-16.522222222222222,263.442,no encontrada,no encontrada,979360.05
Tenerife,10936054,28.397777777777776,-16.529166666666665,246.533,no encontrada,no encontrada,979363.85
Tenerife,10936055,28.3975,-16.529444444444444,245.1782,no encontrada,no encontrada,979363.96
Tenerife,10936056,28.397222222222222,-16.535,211.4053,no encontrada,no encontrada,979371.62
Tenerife,10936057,28.396666666666665,-16.538611111111113,188.0897,no encontrada,no encontrada,979376.16
Tenerife,10936058,28.397777777777776,-16.544722222222223,177.7591,no encontrada,no encontrada,979377.06
Tenerife,10936059,28.39638888888889,-16.55,201.3601,no encontrada,no encontrada,979371.75
Tenerife,10936060,28.395,-16.55138888888889,203.0975,no encontrada,no encontrada,979371.28
Tenerife,10936061,28.394166666666667,-16.556944444444444,209.3768,no encontrada,no encontrada,979368.82
Tenerife,10936062,28.393333333333334,-16.565,201.6887,no encontrada,no encontrada,979369.1
Tenerife,10936063,28.3925,-16.56972222222222,196.296,no encontrada,no encontrada,979369.59
Tenerife,10936064,28.39361111111111,-16.574444444444445,212.7046,no encontrada,no encontrada,979365.7
Tenerife,10937002,28.479999999999997,-16.31888888888889,547.312,592142,0.05,979300.1
Tenerife,10937003,28.475277777777777,-16.32361111111111,587.4816,632376,0.05,979290.94
Tenerife,10937004,28.475277777777777,-16.333888888888886,651.2269,696177,0.05,979280.48
Tenerife,10937005,28.47083333333333,-16.342499999999998,701.6343,746587,0.05,979268.36
Tenerife,10937006,28.464444444444442,-16.350555555555555,729.9433,775010,0.05,979263.34
Tenerife,10937007,28.459166666666665,-16.359444444444446,827.6861,872969,0.05,979240.52
Tenerife,10937008,28.45138888888889,-16.366944444444446,900.9147,946382,0.05,979219.64
